Alice Caymmi | A Estação
Dennis DJ | Sou Teu Fã
Kelly Key | Baba
Silva | Kylie Jenner
Plutão Já Foi Planeta | O Ficar e o Ir da Gente
Reginaldo Rossi | A Raposa E As Uvas
Pedra Letícia | Em Plena Lua de Mel
Lucas Lucco | Permanecer
Criolo | Duas de Cinco
Plutão Já Foi Planeta | Insone
Fresno | Diga, Parte 2
Mamonas Assassinas | Vira-Vira
MC Gustta | Abusadamente
Zimbra | Viva
Xamã | O Ronco do Coiote
Paula Mattos | Que Sorte a Nossa
Paula Fernandes | Juntos
Manu Gavassi | Hipnose
Pablo Martins | Drogas
Charlie Brown Jr. | Céu Azul
VINNE | So Bad
DJ Marlboro | Dona Gigi
Anitta | Vai Malandra
Astrud Gilberto | Meditation
Mundo Livre | Garota de Ipanema
Pato Fu | Canção Pra Você Viver Mais
Bruninho e Davi | Amor Provisório
Xande de Pilares | Tem que Provar que Merece
Costa Gold | Irmão DQbrada!
Jeito Moleque | Me Faz Feliz
Mano Walter | Juramento do Dedinho
Fábio Jr. | Pareço Um Menino
Phill Veras | Pode vir comigo
Bhaskar | The Hook
Tribalistas | Velha Infância
Gonzaguinha | Comportamento Geral
Ritchie | Time in a Tree
Ftampa | Who We Are
Guilherme de Sá | O Ópio e a Cicatriz
Babado Novo | Safado, Cachorro, Sem-Vergonha
Bokaloka | Ela Mexe Comigo
Adoniran Barbosa | Saudosa Maloca
Banda Calypso | Pra Me Conquistar
Conrado & Aleksandro | Pode chorar
Alceu Valença | La Belle de Jour
Naldo Benny | Amor de Chocolate
MC G15 | Deu Onda
Fagner | Canteiros
Karol Conká | Boa Noite
Little Joy | The Next Time Around
Sérgio Mendes | Mas Que Nada
Padre Marcelo Rossi | Amar como jesus amou
Mc Gui | California Dreamin’
Pentagono | Lembranças
Jorge e Mateus | Pra ter o seu amor
Los Hermanos | Sentimental
Tihuana | Tropa de Elite
Breno & Caio Cesar | Casal Safadinho
Carlinhos Brown | Carlito Marrón
MC Jhey | Tá Suave, Tá Legal
MC Pocahontas | Não Sou Obrigada
MC WM | Copa do Bumbum
A Banda Mais Bonita da Cidade | Oração
Alok | Never Let Me Go
Só Pra Contrariar | Minha Fantasia
Onze:20 | Não Vai voltar
Roberta Campos | De Janeiro a Janeiro
Rashid | Primeira Diss
Dorgival Dantas | Paixão Errada
O Teatro Mágico | Nosso Pequeno Castelo
Paulo César Baruk | Dependo De Ti
Falamansa | Xote Da Alegria
Dadá Boladão | Surtada (Remix)
Zeca Baleiro | Telegrama
Kell Smith | Nossa Conversa
Kleber Lucas | Deus Forte
Esteban Tavares | Segunda-feira
Selva | Los Ojos Cerrados
Marcos & Belutti | Domingo de manhã
André Valadão | Quão Grande És Tu
Oswaldo Montenegro | Bandolins
MC Bin Laden | Bololo Haha
ConeCrewDiretoria | Rap, Cerva, Erva e Muita Larica
Marcello Gugu | Ajami (Uma Briga de J.I.S.)
Pabllo Vittar | Flash Pose
Fernando & Sorocaba | Cada um na Sua
Tchakabum | Onda Onda (Olha a Onda)
Arlindo Cruz | Meu Lugar
OutroEu | Coisa de Casa
Claudinho e Buchecha | Fico Assim Sem Você
IZA | Pequeña gran revolución
Gustavo Mioto | Com ou Sem Mim
Ira | Salil al-Sawarim / صليل الصوارم
Maneva | Tô de Pé
Preta Gil | Vá Se Benzer
George Henrique & Rodrigo | Conto até dez
Imaginasamba | Preservê
Perlla | No Meu Comando
Rael | Envolvidão
Nenhum de Nós | Camila, Camila
Henrique e Juliano | Recaídas (Ao Vivo)
Falamansa | Xote Dos Milagres
Strike | Pale Moonlight
Bruno Martini | Living on the outside
Jão | Volgende Stap
Geo | Juicy
MC Mirella | Bota na Malvada
Kyber Krystals | The Sound (This Is Who We Are)
Selva | A Fuego
Cat Dealers | Sunshine
Chico Rey e Paraná | Amor Rebelde
Banda Uó | Tô na Rua
Marcelo D2 | Você Diz Que O Amor Não Dói
Caetano Veloso | You Don’t Know Me
Daniel | FEFE
Ponto de Equílibrio | Ponto De Equilíbrio
Capital Inicial | Primeiros Erros
Martinho da Vila | Ex Amor
Marcos & Belutti | Aquele 1%
Jorge Vercillo | Que nem maré
Soweto | Farol das estrelas
Claudia Leitte | Baldin de Gelo
Barão Vermelho | Bete Balanço
Mano Brown | De Frente Pro Mar
Henrique e Juliano | Flor e o Beija-Flor
Os Mutantes | Panis et Circenses
Black Alien | Que Nem o Meu Cachorro
Paulinho Moska | A Seta e o Alvo
Pikeno e Menor | Valeu Amigo
Chico César | À Primeira Vista
Claudinho e Buchecha | Nosso Sonho
Far From Alaska | Cobra
Chico César | Mama África
Supercombo | Amianto
Os Travessos | Tô Te Filmando (Sorria)
Dorival Caymmi | Retirantes
Wilson Simonal | Nem Vem Que Não Tem
POCAH | Não Sou Obrigada
Menor | ¿Qué necesidad?
Márcia Fellipe | Deixa Eu Te Fazer Feliz
MC Kevinho | Olha a Explosão (Remix)
Luiz Melodia | Pérola Negra
Beto Guedes | Amor De Índio
Mc Zaac | Vai Embrazando
Fábio Jr. | Alma Gêmea
É o Tchan | Pau Que Nasce Torto / Melô do Tchan (Medley)
Maiara e Maraisa | Medo Bobo
Felguk | This Life
MC DG | O Que Acontece no Rolê
Felipe Ret | Isso Que é Vida
Davi Sacer | Deus de Promessas
Ego Kill Talent | Sublimated
Humberto & Ronaldo | Não Fala Não Pra Mim
Jord | ​wokeuplikethis*
Melanina Carioca | Deixa Se Envolver
MC Marcinho | Rap do Solitário
Koringa | O Tamborzão Tá Rolando
Nx Zero | Cedo ou Tarde
Eyshila | Fiel A Mim
Milton Nascimento | Tudo Que Você Podia Ser
Marília Mendonça | Bem Pior Que Eu (Ao Vivo)
Titãs | Epitáfio
Michel Teló | Bara Bará Bere Berê
David Quinlan | Quero Te Conhecer
Fernandinho | Deus Não Está Morto
Maria Gadú | Shimbalaiê
Gusttavo Lima | Eu Vou Te Buscar (Cha La La La La)
Harmonia do Samba | Tic Nervoso (Ao Vivo)
Bruno Martini | Sun Goes Down
Tom Jobim | Waters of March (Aguas de Marco)
Anavitória | Trevo (Tu)
Chitãozinho & Xororó | Fio de Cabelo
Frejat | Segredos
ConeCrewDiretoria | Vai Dar Caô (BDM2)
Bruno & Marrone | Bijuteria
Reginaldo Rossi | Garçon
Ritchie | Stronger than Ever
Nação Zumbi | Banditismo Por Uma Questão de Classe
Melanina Carioca | Nuvem
Jão | Van Mij
Aline Calixto | Oxóssi
Mc Gw | Surta Frozen
Zélia Duncan | Catedral
Paula Mattos | Matéria de Amor
Daniela Mercury | Rapunzel
Martinho da Vila | De Bem Com A Vida
Sérgio Mendes & Brasil'66 | Mas Que Nada
Cássia Eller | Malandragem
Marcelo Jeneci | Pra Sonhar
Aline Calixto | Vera Cruz
MC João | Baile de Favela
Zé Neto & Cristiano | Bebida Na Ferida
Priscilla Alcântara | Me Refez
Bonde do Tigrão | Cerol Na Mão
Anavitória | Agora Eu Quero Ir
Lulu Santos | Tempos Modernos
Liniker | Caeu
MC Livinho | Rebeca (Maejor Version)
Blitz | New Age
Belchior | Apenas Um Rapaz Latino-Americano
Valesca Popozuda | Me Ama - Mama
Jonas Esticado | Xote Sofrência
MC Pedrinho | Toma Tapa na Cara
Sain | Notas
Chrystian e Ralf | Olhos de luar
Novos Baianos | Mistério do Planeta
Mar Aberto | Sentido
MC Kevin o Chris | Ela É do Tipo (Remix)
Alice Caymmi | Eu Te Avisei
Marina Lima | Fullgás
Toque no Altar | Tua Graça Me Basta
LIVIT | Intensify
Tribo da Periferia | O Funil
Jorge Ben Jor | Mas Que Nada
Teresa Cristina | Coisas banais
Isadora Pompeo | Hey, Pai
MC Léléto | Chacoalhando
BK | Amores, Vícios e Obsessões
Luiz Bonfá | Perdido de Amor (Lost in Love) (English Version)
Só Pra Contrariar | Depois do Prazer
Naiara Azevedo | Chora no Meu Colo
Ana Cañas | No Quiero Tus Besos
Os Arrais | 17 de janeiro
Nossa Toca | I Took a Pill in Ibiza
Mc Gui | Eve of Destruction
Heloisa Rosa | Yeshua
POCAH | Eu Sentei Tu Gamou
Mc Jhowzinho e MC Kadinho | Agora Vai Sentar
Banda Eva | Beleza Rara
Mc Davi | Ela Tá Que Tá
Thiaguinho | Energia Surreal
Tchakabum | Explosao
Naldo Benny | Benny e Brown
Preta Gil | Não Me Testa
Chiclete com Banana | Se Me Chamar Eu Vou
Titãs | Flores
Roberta Campos | Minha Felicidade
Ponto de Equílibrio | Novo dia
Marina Lima | Só os Coxinhas
Ira | For the Sake of Allah
Anitta | Banana
Supercombo | Maremotos
Djavan | Flor de Lis
Victor e Léo | Amigo Apaixonado (Ao Vivo)
Nando Reis | Pra Você Guardei o Amor
A Banda Mais Bonita da Cidade | Oração (Cat Dealers Remix)
Kid Abelha | Lágrimas e Chuva
Benito di Paula | Retalhos de Cetim
Projota | Ela Só Quer Paz
DJ PV | Me Leva Mais Alto
Bezerra da Silva | A Semente
João Donato | Minha saudade
Beth Carvalho | Vou Festejar
Gabriel Diniz | A Casa Chora
Psirico | Elas Gostam (Popa da Bunda)
Rodrigo Amarante | Irene
Bruno Be | Take Me Out
