Diogo Nogueira | Coragem
João Bosco | Incompatibilidade de Gênios
Rodrigo Marim | Fue Difícil - Single
Paulo Miklos | Estou Pronto
Oswaldo Montenegro | Metade
Grupo Revelação | Coração Radiante
Diante do Trono | Deus de Milagres
Gabriel Gava | Bala na boquinha
Mc Gw | Vai de Quatro Vem de Costa
Vanguart | Demorou pra Ser
Thiago Martins | Anjo Sem Asa (Ao Vivo)
Don L | Aquela Fé
Ultraje a Rigor | Inútil
Tiago Iorc | Laços
Leonardo Gonçalves | Adon Olam
Eyshila | Eu me arrependo
Boogarins | Lá Vem a Morte Pt. 1
DJ Caique | Não Custa Nada Sonhar
Fafa de Belem | Vermelho
Oriente | Essa Eu Fiz Pra Você
César Menotti e Fabiano | Leilão
Preto no Branco | Me Deixe Aqui
Thalles Roberto | Porque Ele Vive
Pentagono | É o Moio
Molejo | Voltei
Sepultura | Roots Bloody Roots
Fernanda Brum | Eu Vou A África
Teresa Cristina | Feitio de Oração
Naiara Azevedo | 50 Reais
Nego do Borel | Você Partiu Meu Coração
Perlla | Tremendo Vacilão
MC Lustosa | Bunda Maluca
Elekfantz | Diggin’ On You
Matogrosso e Mathias | Um Século Sem Ti
Rincon Sapiência | Linhas de Soco
1Kilo | Dia de Caça
Legião Urbana | Tempo Perdido
Almir Sater | Meiga Senhorita
Otto | I Don’t Like
UM44K | 4 da Manhã
Xamã | Luxúria
Vinicius de Moraes | Berimbau
Erasmo Carlos | Não Existe Saudade no Cosmos
Léo Santana | Dia de Maldade
Zeca Pagodinho | Faixa Amarela
Pablo Martins | Costela de Adão
BK | Sigo Na Sombra
Sérgio Mendes | What Do We Mean To Each Other
MC Lustosa | Nitro Point
Zeeba | Eu Te Quero
MC 2k | Ziguiriguidum
Phill Veras | Sorriso ao Sono
Sorriso Maroto | Ainda existe amor em nós
Pedro Paulo e Alex | Toma e Depois Desce
Vintage Culture | Hollywood
Maria Cecília e Rodolfo | Ficou, Namorou e Casou
Cacife Clandestino | Sangue Bom
Cazuza | O Tempo Não Para
Forfun | Cosmic Jesus
Padre Fábio de Melo | Nas asas do senhor
Heloisa Rosa | Há um Lugar
Dadá Boladão | Revoltada
Tulipa Ruiz | Só Sei Dançar Com Você
Maria Rita | Chama de Saudade
Engenheiros do Hawaii | Infinita Highway
Detonautas Roque Clube | Olhos Certos
Jose Augusto | Sonho por Sonho
Bonde da Stronda | Blindão
Ana Muller | Eu Vi Você
Pitty | Equalize
Luan Estilizado | Amor Nota 7 (Amor Foda)
Felipe Araújo | A Mala é Falsa
Nelson Freire | Melodia (da Ópera de Orfeu e Eurídice)
Bruna Karla | Quando Eu Chorar
Luma Elpidio | Que Amor É Esse
Rosa de Saron | Quando Tiver Sessenta
Mundo Livre | Meu Esquema
Kid Abelha | Como Eu Quero
Jefferson Moraes | Oi Nego
Wesley Safadão | Amor Falso
Onze:20 | Pra Você
Adriana Calcanhoto | Esquadros
João Bosco & Vinicius | Não Era Você
Joyce | Constant Headache
Daniela Araújo | Criador do Mundo
Luisa Sonza | Olhos Castanhos
Katinguelê | Inaraí
Bebel Gilberto | Samba da Benção
Flora Matos | Preta de Quebrada
Inimigos da HP | Caça E Caçador
Tom Jobim | Waters Of March
Xuxa | Parabéns da Xuxa
Pk | AFK
Chimarruts | Do Lado De Cá
Belo | Незабудка (Nezabudka)
Guilherme Arantes | Lindo Balão Azul
A Banca 021 | Manual
MC Hollywood | Rapidamente Treme O Bumbum
Edson e Hudson | Azul
Art Popular | Temporal
MC MM | Quem Ama Demais Sofre Demais
Elza Soares | Mulher do Fim do Mundo
MC Lan | Rave de Favela
Jota Quest | Só Hoje
Ravena | Pagar o Preço
Vanessa da Mata | Boa Sorte / Good Luck
Os Paralamas do Sucesso | Una Brasilera
